Class,Order,Suborder,Infraorder,Superfamily,Family,Leaf
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,,muscoid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Tephritoidea,,tephritoid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,,frit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,,lauxaniid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,,sciomyzoid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,,syrphoid_fly
Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,,robber_fly
Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,,dance_fly
Insecta,Diptera,Brachycera,Tabanomorpha,Rhagionoidea,,snipe_fly
Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,,horse_fly
Insecta,Diptera,Brachycera,Stratiomyomorpha,Stratiomyoidea,,soldier_fly
Insecta,Diptera,Nematocera,Bibionomorpha,Anisopodea,,wood_gnat
Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,,fungus_gnat
Insecta,Diptera,Nematocera,Bibionomorpha,,Bibionidae,fever_fly
Insecta,Diptera,Nematocera,Culicomorpha,,,midge
Insecta,Diptera,Nematocera,Tipulomorpha,Tipuloidea,,crane_fly
Insecta,Hymenoptera,Apocrita,Aculeata,,Vespidae,wasp
Insecta,Hymenoptera,Apocrita,Aculeata,,Formicidae,ant
Insecta,Hymenoptera,Apocrita,Aculeata,,Apidae,bee
Insecta,Hymenoptera,Apocrita,Aculeata,,Sphecidae,digger_wasp
Insecta,Hymenoptera,Apocrita,Aculeata,,Astatidae,digger_wasp
Insecta,Hymenoptera,Apocrita,Aculeata,,Crabronidae,digger_wasp
Insecta,Hymenoptera,Apocrita,Aculeata,,Pompilidae,spider_wasp
Insecta,Hymenoptera,Apocrita,Parasitica,,,parasitoid_wasp
Insecta,Hymenoptera,Symphyta,,,,saw fly
Insecta,Coleoptera,,,Chrysomeloidea,,leaf_beetle
Insecta,Coleoptera,,,Coccinelloidea,,ladybug
Insecta,Coleoptera,,,Curculionoidea,,weevil
Insecta,Coleoptera,,,Tenebrionoidea,,tenebrionoid_beetle
Insecta,Lepidoptera,,Heterocera,,,moth
Insecta,Lepidoptera,,Rhopalocera,,,butterfly
Insecta,Mecoptera,,,,,scorpion_fly
Insecta,Orthoptera,,,,,grasshopper
Insecta,Dermaptera,,,,,earwig
Insecta,Trichoptera,,,,,caddisfly
Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Cicadoidea,,cicada
Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,,leafhopper
Insecta,Hemiptera,Heteroptera,,,,bug
Arachnida,,,,,,spider
