Class,Order,Suborder,Infraorder,Superfamily,Family,Other aspect,Leaf
Arachnida,Araneae,Arneomorphae,Araneomorphae,Araneoidea,,,spider
Arachnida,Araneae,Arneomorphae,Araneomorphae,Dictynoidea,,,spider
Insecta,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Anthicidae,,ant_beetle
Insecta,Coleoptera,,,,,,beetle
Insecta,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,,,ladybug
Insecta,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Chrysomelidae,,leaf_beetle
Insecta,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Oedemeridae,,pollen_feeding_beetle
Insecta,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,,,weevil
Insecta,Dermaptera,Forficulina,,Forficuloidea,,,earwig
Insecta,Diptera,Nematocera,Tipulomorpha,Tipuloidea,,,crane_fly
Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,,,dance_fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Scathophagidae,,dung_fly
Insecta,Diptera,Nematocera,Bibionomorpha,Bibionoidea,Bibionidae,,fever_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Calliphoridae,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Sarcophagidae,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,Tachinidae,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Carnoidea,,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Anthomyiidae,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Opomyzoidea,,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Phoroidea,,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Sphaeroceroidea,,,fly
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Drosophilidae,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydroidae,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Tephritoidea,Pallopteridae,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Tephritoidea,Tephritidae,,fruit_fly
Insecta,Diptera,Nematocera,Bibionomorpha,Anisopodoidea,Anisopodidae,,gnat
Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,,gnat
Insecta,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,,gnat
Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,,hoverfly
Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sciomyzidae,,marsh_fly
Insecta,Diptera,Nematocera,Culicomorpha,Chironomoidea,,,midge
Insecta,Diptera,Nematocera,Culicomorpha,Culicoidea,,,midge
Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,,,robber_fly
Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sepsidae,,scavenger_fly
Insecta,Diptera,Brachycera,Tabanomorpha,Rhagionoidea,Rhagionidae,,snipe_fly
Insecta,Diptera,Brachycera,Stratiomyomorpha,Stratiomyoidea,Stratiomyidae,,soldier_fly
Insecta,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,,,bug
Insecta,Hemiptera,Heteroptera,Pentatomomorpha,Miroidea,,,bug
Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Cicadoidea,,,cicada
Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Membracoidea,,,leafhopper
Insecta,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,,ant
Insecta,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,,bee
Insecta,Hymenoptera,Apocrita,Aculeata,Apoidea,Sphecidae,,digger_wasp
Insecta,Hymenoptera,Apocrita,Parasitica,Ichneumonoidea,Ichneumonidae,,parasitoid_wasp
Insecta,Hymenoptera,Apocrita,Parasitica,Chalcidoidea,Eulophidae,,parasitoid_wasp
Insecta,Hymenoptera,Symphyta,,Tenthredinoidea,Tenthredinidae,,saw_fly
Insecta,Hymenoptera,Apocrita,Aculeata,Pompiloidea,Pompilidae,,spider_wasp
Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,,wasp
Insecta,Lepidoptera,Glossata,Rhopalocera,Papilionoidea,,,butterfly
Insecta,Lepidoptera,Glossata,Rhopalocera,Zygaenoidea,,,butterfly
Insecta,Lepidoptera,Glossata,Heterocera,Gelechioidea,,,moth
Insecta,Lepidoptera,Glossata,Heterocera,Geometroidea,,,moth
Insecta,Lepidoptera,Glossata,Heterocera,Noctuoidea,,,moth
Insecta,Lepidoptera,Glossata,Heterocera,Pyraloidea,,,moth
Insecta,Lepidoptera,Glossata,Heterocera,Tineoidea,,,moth
Insecta,Lepidoptera,Glossata,Heterocera,Yponomeutoidea,,,moth
Insecta,Mecoptera,,,Panorpoidea,Panorpidae,,scorpion_fly
Insecta,Neuroptera,Hemerobiiformia,,Hemerobioidea,,,lacewing
Insecta,Neuroptera,Hemerobiiformia,,Chrysopoidea,,,lacewing
Insecta,Orthoptera,Caelifera,Acrididea,Acridoidea,,,grasshopper
Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,,,grasshopper
Insecta,Trichoptera,Integripalpia,Plenitentoria,Limnephiloidea,,,caddisfly
