Class,Order,Suborder,Infraorder,Superfamily,Family,Leaf
Arachnida,,,,,,spider
Insecta,Coleoptera,,,Chrysomeloidea,,leaf_beetle
Insecta,Coleoptera,,,Coccinelloidea,,ladybug
Insecta,Coleoptera,,,Curculionoidea,,weevil
Insecta,Coleoptera,,,,Anthicidae,ant_beetle
Insecta,Dermaptera,,,,,earwig
Insecta,Orthoptera,,,,,grasshopper
Insecta,Mecoptera,,,,,scorpion_fly
Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,,robber_fly
Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,,dance_fly
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,,lauxaniid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,,muscoid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,,Sepsidae,scavenger_fly
Insecta,Diptera,Brachycera,Muscomorpha,,Syrphidae,hoverfly
Insecta,Diptera,Brachycera,Muscomorpha,,Tephritidae,true_fruit_fly
Insecta,Diptera,Nematocera,,,Bibionidae,fever_fly
Insecta,Hymenoptera,Apocrita,Parasitica,,,parasitoid_wasp
Insecta,Hymenoptera,Symphyta,,,,saw_fly
Insecta,Hymenoptera,Apocrita,Aculeata,,Formicidae,ant
Insecta,Hymenoptera,Apocrita,Aculeata,,Vespidae,wasp
Insecta,Lepidoptera,,Heterocera,,,moth
