Class,Order,Suborder,Infraorder,Superfamily,Family,Leaf
Arachnida,,,,,,spider
Insecta,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,,leaf_beetle
Insecta,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,,ladybug
Insecta,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,,weevil
Insecta,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Anthicidae,ant_beetle
Insecta,Dermaptera,,,,,earwig
Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,,robber_fly
Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,,dance_fly
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,,fruit_fly
Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,,lauxaniid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,,muscoid_fly
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,,flesh_fly
Insecta,Diptera,Brachycera,Muscomorpha,Sciomyzoidea,Sepsidae,scavenger_fly
Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,hoverfly
Insecta,Diptera,Brachycera,Muscomorpha,Tephritoidea,Tephritidae,true_fruit_fly
Insecta,Diptera,Nematocera,Bibionomorpha,,Bibionidae,fever_fly
Insecta,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,ant
Insecta,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,wasp
Insecta,Hymenoptera,Apocrita,Parasitica,,,parasitoid_wasp
Insecta,Hymenoptera,Symphyta,,,,saw_fly
Insecta,Lepidoptera,Glossata,Heterocera,,,moth
Insecta,Mecoptera,,,,,scorpion_fly
Insecta,Orthoptera,,,,,grasshopper
