Class,Order,Suborder,Infraorder,Superfamily,Family,Leaf
Arachnida,,,,,,
Insecta,Coleoptera,,,Chrysomeloidea,,
Insecta,Coleoptera,,,Coccinelloidea,,
Insecta,Coleoptera,,,Curculionoidea,,
Insecta,Coleoptera,,,,Anthicidae,
Insecta,Dermaptera,,,,,
Insecta,Orthoptera,,,,,
Insecta,Mecoptera,,,,,
Insecta,Diptera,Brachycera,Asilomorpha,Asiloidea,,
Insecta,Diptera,Brachycera,Asilomorpha,Empidoidea,,
Insecta,Diptera,Brachycera,Muscomorpha,Ephydroidea,,
Insecta,Diptera,Brachycera,Muscomorpha,Lauxanioidea,,
Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,,
Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,,
Insecta,Diptera,Brachycera,Muscomorpha,,Sepsidae,
Insecta,Diptera,Brachycera,Muscomorpha,,Syrphidae,
Insecta,Diptera,Brachycera,Muscomorpha,,Tephritidae,
Insecta,Diptera,Nematocera,,,Bibionidae,
Insecta,Hymenoptera,Apocrita,Parasitica,,,
Insecta,Hymenoptera,Symphyta,,,,
Insecta,Hymenoptera,Apocrita,Aculeata,,Formicidae,
Insecta,Hymenoptera,Apocrita,Aculeata,,Vespidae,
Insecta,Lepidoptera,,Heterocera,,,
