ID;Date;Video Name check in;Video link;Video check:in check;Video Name check out;Video link.1;Video check:out check;Check:in;Check:out;Duration;Flight event;Way out;No. Videos;iNat Sharing;Class;Order;Suborder;Infraorder;Superfamily;Family;Subfamily;Genus;Species;Classification class;Classification class refined;Parent folder 1;Parent folder 2;Parent folder 3;Parent folder 4;Parent folder 5;Parent folder 6;Key
1;2021-07-12;2021-07-12_14-01-54;video;ok;2021-07-12_14-03-48;video;ok;2021-07-12 14:01:54;2021-07-12 14:03:52;0 days 00:01:58;yes;exit;3 videos;yes;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;Tolmerus;#N/C;robber_fly;robber_fly;nan;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Asiloidea.Asilidae.Asilinae.Tolmerus.#N/C
2;2021-07-12;2021-07-12_14-59-17;video;ok;2021-07-12_14-59-17;video;ok;2021-07-12 14:59:17;2021-07-12 14:59:21;0 days 00:00:04;yes;exit;1 video;yes;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C
3;2021-07-12;2021-07-12_15-05-25;video;ok;2021-07-12_15-05-25;video;ok;2021-07-12 15:05:25;2021-07-12 15:05:45;0 days 00:00:20;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Apocrita;Apocrita;Hymenoptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Hymenoptera.Apocrita.#N/C.#N/C.#N/C.#N/C.#N/C
4;2021-07-12;2021-07-12_15-19-53;video;ok;2021-07-12_15-19-53;video;ok;2021-07-12 15:19:53;2021-07-12 15:19:57;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C
5;2021-07-12;2021-07-12_15-36-07;video;ok;2021-07-12_15-36-07;video;ok;2021-07-12 15:36:07;2021-07-12 15:36:36;0 days 00:00:29;yes;exit;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;Sphaerophoria;#N/C;hoverfly;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Syrphoidea.Syrphidae.Syrphinae.Sphaerophoria.#N/C
6;2021-07-12;2021-07-12_15-43-07;video;ok;2021-07-12_15-43-07;video;ok;2021-07-12 15:43:07;2021-07-12 15:43:13;0 days 00:00:06;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C
7;2021-07-12;2021-07-12_15-44-27;video;ok;2021-07-12_15-44-27;video;ok;2021-07-12 15:44:27;2021-07-12 15:44:32;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
8;2021-07-12;2021-07-12_16-02-04;video;ok;2021-07-12_16-02-46;video;ok;2021-07-12 16:02:04;2021-07-12 16:07:14;0 days 00:05:10;yes;exit;2 videos;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;hoverfly;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta;Insecta.Diptera.Brachycera.Muscomorpha.Syrphoidea.Syrphidae.Syrphinae.#N/C.#N/C
9;2021-07-12;2021-07-12_16-55-42;video;ok;2021-07-12_16-55-42;video;ok;2021-07-12 16:55:42;2021-07-12 16:55:45;0 days 00:00:03;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;Brachycera;Brachycera;Diptera;Insecta;#N/C;#N/C;#N/C;#N/C;Insecta.Diptera.Brachycera.#N/C.#N/C.#N/C.#N/C.#N/C.#N/C
10;2021-07-12;2021-07-12_16-55-42;video;ok;2021-07-12_16-55-42;video;ok;2021-07-12 16:56:15;2021-07-12 16:56:16;0 days 00:00:01;?;?;1 video;yes;Insecta;Lepidoptera;Glossata;Rhopalocera;Papilionoidea;Hesperiidae;Hesperiinae;Thymelicus;#N/C;butterfly;butterfly;nan;nan;Rhopalocera;Glossata;Lepidoptera;Insecta;Insecta.Lepidoptera.Glossata.Rhopalocera.Papilionoidea.Hesperiidae.Hesperiinae.Thymelicus.#N/C
