ID;Date;Video Name check in;Video Name check out;Check:in;Check:out;Duration;Flight event;Way out;No. Videos;iNat Sharing;Class;Order;Suborder;Infraorder;Superfamily;Family;Subfamily;Genus;Species;Leaf_reclass;Family_reclass;Superfamily_reclass;Infraorder_reclass;Suborder_reclass;Order_reclass;Class_reclass
1;2021-07-12;2021-07-12_14-01-54;2021-07-12_14-03-48;2021-07-12 14:01:54;2021-07-12 14:03:52;0 days 00:01:58;yes;exit;3 videos;yes;Insecta;Diptera;Brachycera;Asilomorpha;Asiloidea;Asilidae;Asilinae;Tolmerus;#N/C;robber_fly;;Asiloidea;Asilomorpha;Brachycera;Diptera;Insecta
2;2021-07-12;2021-07-12_14-59-17;2021-07-12_14-59-17;2021-07-12 14:59:17;2021-07-12 14:59:21;0 days 00:00:04;yes;exit;1 video;yes;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
3;2021-07-12;2021-07-12_15-05-25;2021-07-12_15-05-25;2021-07-12 15:05:25;2021-07-12 15:05:45;0 days 00:00:20;yes;exit;1 video;yes;Insecta;Hymenoptera;Apocrita;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Apocrita;Insecta;Hymenoptera
4;2021-07-12;2021-07-12_15-19-53;2021-07-12_15-19-53;2021-07-12 15:19:53;2021-07-12 15:19:57;0 days 00:00:04;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
5;2021-07-12;2021-07-12_15-36-07;2021-07-12_15-36-07;2021-07-12 15:36:07;2021-07-12 15:36:36;0 days 00:00:29;yes;exit;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;Sphaerophoria;#N/C;syrphoid_fly;;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
6;2021-07-12;2021-07-12_15-43-07;2021-07-12_15-43-07;2021-07-12 15:43:07;2021-07-12 15:43:13;0 days 00:00:06;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
7;2021-07-12;2021-07-12_15-44-27;2021-07-12_15-44-27;2021-07-12 15:44:27;2021-07-12 15:44:32;0 days 00:00:05;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
8;2021-07-12;2021-07-12_16-02-04;2021-07-12_16-02-46;2021-07-12 16:02:04;2021-07-12 16:07:14;0 days 00:05:10;yes;exit;2 videos;no;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;#N/C;#N/C;syrphoid_fly;;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
9;2021-07-12;2021-07-12_16-55-42;2021-07-12_16-55-42;2021-07-12 16:55:42;2021-07-12 16:55:45;0 days 00:00:03;yes;exit;1 video;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Insecta;Diptera
10;2021-07-12;2021-07-12_16-55-42;2021-07-12_16-55-42;2021-07-12 16:56:15;2021-07-12 16:56:16;0 days 00:00:01;?;?;1 video;yes;Insecta;Lepidoptera;Glossata;Rhopalocera;Papilionoidea;Hesperiidae;Hesperiinae;Thymelicus;#N/C;butterfly;;;Rhopalocera;;Lepidoptera;Insecta
11;2021-07-12;2021-07-12_17-03-54;2021-07-12_17-03-54;2021-07-12 17:03:54;2021-07-12 17:04:01;0 days 00:00:07;yes;exit;1 video;no;Insecta;Diptera;Brachycera;Muscomorpha;Ephydroidea;Drosophilidae;Drosophilinae;Scaptomyza;#N/C;fruit_fly;;Ephydroidea;Muscomorpha;Brachycera;Diptera;Insecta
