ID;General-ID;Device;Date;Video Name check in;Video Name check out;Check:in;Check:out;Duration;Way in;Flight event;Way out;Image Database  ID;Image Database location;No. Videos;iNat Main suggestion;iNat Sharing;Class;Order;Suborder;Infraorder;Superfamily;Family;Subfamily;Genus;Species;Leaf_reclass;Family_reclass;Superfamily_reclass;Infraorder_reclass;Suborder_reclass;Order_reclass;Class_reclass
1;FAIR-D1_1;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_09-28-59;FAIR-D1_2023-08-23_09-30-32;2023-08-23 09:29:19;2023-08-23 09:30:37;00:01:18;entrance;yes;exit;1;FAIR-D1/1;2 videos;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
2;FAIR-D1_2;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_11-17-18;FAIR-D1_2023-08-23_11-17-18;2023-08-23 11:17:18;2023-08-23 11:17:27;00:00:09;entrance;yes;exit;2;FAIR-D1/2;1 video;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
3;FAIR-D1_3;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_12-30-54;FAIR-D1_2023-08-23_12-30-54;2023-08-23 12:30:54;2023-08-23 12:31:05;00:00:11;entrance;yes;exit;3;FAIR-D1/3;1 video;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
4;FAIR-D1_4;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_14-05-01;FAIR-D1_2023-08-23_14-05-01;2023-08-23 14:05:01;2023-08-23 14:05:06;00:00:05;entrance;yes;exit;4;FAIR-D1/4;1 video;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;Syrphini;#N/C;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
5;FAIR-D1_5;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_14-35-38;FAIR-D1_2023-08-23_14-36-55;2023-08-23 14:35:38;2023-08-23 14:37:03;00:01:25;?;no;entrance;5;FAIR-D1/5;2 videos;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
6;FAIR-D1_6;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_15-55-57;FAIR-D1_2023-08-23_15-55-57;2023-08-23 15:55:57;2023-08-23 15:56:00;00:00:03;entrance;yes;exit;6;FAIR-D1/6;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
7;FAIR-D1_7;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_15-59-41;FAIR-D1_2023-08-23_15-59-41;2023-08-23 15:59:41;2023-08-23 15:59:46;00:00:05;entrance;yes;exit;7;FAIR-D1/7;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
8;FAIR-D1_8;FAIR-D1;2023-08-23;FAIR-D1_2023-08-23_17-58-40;FAIR-D1_2023-08-23_17-58-40;2023-08-23 17:58:40;2023-08-23 17:59:25;00:00:45;entrance;yes;exit;8;FAIR-D1/8;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
9;FAIR-D1_9;FAIR-D1;2023-08-24;FAIR-D1_2023-08-24_10-00-38;FAIR-D1_2023-08-24_10-00-38;2023-08-24 10:00:38;2023-08-24 10:01:15;00:00:37;entrance;yes;exit;9;FAIR-D1/9;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
10;FAIR-D1_10;FAIR-D1;2023-08-24;FAIR-D1_2023-08-24_10-34-11;FAIR-D1_2023-08-24_10-34-11;2023-08-24 10:34:11;2023-08-24 10:34:18;00:00:07;entrance;yes;exit;10;FAIR-D1/10;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
11;FAIR-D1_11;FAIR-D1;2023-08-24;FAIR-D1_2023-08-24_11-17-40;FAIR-D1_2023-08-24_11-17-40;2023-08-24 11:17:40;2023-08-24 11:17:45;00:00:05;entrance;yes;exit;11;FAIR-D1/11;1 video;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Syrphoidea;Syrphidae;Syrphinae;Syrphini;#N/C;hoverfly;Syrphidae;Syrphoidea;Muscomorpha;Brachycera;Diptera;Insecta
12;FAIR-D1_12;FAIR-D1;2023-08-24;FAIR-D1_2023-08-24_12-14-23;FAIR-D1_2023-08-24_12-16-01;2023-08-24 12:14:23;2023-08-24 12:16:14;00:01:51;entrance;yes;exit;12;FAIR-D1/12;2 videos;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
13;FAIR-D1_13;FAIR-D1;2023-08-24;FAIR-D1_2023-08-24_12-55-06;FAIR-D1_2023-08-24_12-55-06;2023-08-24 12:55:06;2023-08-24 12:55:11;00:00:05;entrance;no;exit;13;FAIR-D1/13;1 video;yes;yes;Insecta;Hymenoptera;Apocrita;Aculeata;Vespoidea;Vespidae;Vespinae;Vespula;#N/C;wasp;Vespidae;Vespoidea;Aculeata;Apocrita;Hymenoptera;Insecta
14;FAIR-D1_14;FAIR-D1;2023-08-24;FAIR-D1_2023-08-24_13-33-18;FAIR-D1_2023-08-24_13-33-18;2023-08-24 13:33:18;2023-08-24 13:33:23;00:00:05;?;yes;exit;14;FAIR-D1/14;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
15;FAIR-D1_15;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_16-18-40;FAIR-D1_2023-08-25_16-18-40;2023-08-25 16:18:40;2023-08-25 16:18:57;00:00:17;?;yes;entrance;15;FAIR-D1/15;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
16;FAIR-D1_16;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_16-40-46;FAIR-D1_2023-08-25_16-40-46;2023-08-25 16:40:46;2023-08-25 16:41:10;00:00:24;entrance;yes;exit;16;FAIR-D1/16;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
17;FAIR-D1_17;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_16-53-15;FAIR-D1_2023-08-25_16-53-15;2023-08-25 16:53:15;2023-08-25 16:53:27;00:00:12;entrance;yes;exit;17;FAIR-D1/17;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
18;FAIR-D1_18;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_17-13-57;FAIR-D1_2023-08-25_17-13-57;2023-08-25 17:13:57;2023-08-25 17:14:04;00:00:07;?;yes;exit;18;FAIR-D1/18;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
19;FAIR-D1_19;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_17-13-57;FAIR-D1_2023-08-25_17-13-57;2023-08-25 17:13:57;2023-08-25 17:14:08;00:00:11;?;yes;exit;19;FAIR-D1/19;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
20;FAIR-D1_20;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_17-30-10;FAIR-D1_2023-08-25_17-30-10;2023-08-25 17:30:10;2023-08-25 17:30:43;00:00:33;entrance;no;exit;20;FAIR-D1/20;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Oestroidea;Tachinidae;Exoristinae;#N/C;#N/C;flesh_fly;;Oestroidea;Muscomorpha;Brachycera;Diptera;Insecta
21;FAIR-D1_21;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_18-04-09;FAIR-D1_2023-08-25_18-04-09;2023-08-25 18:04:09;2023-08-25 18:04:17;00:00:08;entrance;no;exit;21;FAIR-D1/21;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
22;FAIR-D1_22;FAIR-D1;2023-08-25;FAIR-D1_2023-08-25_18-29-01;FAIR-D1_2023-08-25_18-29-01;2023-08-25 18:29:01;2023-08-25 18:29:35;00:00:34;entrance;no;exit;22;FAIR-D1/22;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
23;FAIR-D1_23;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_07-39-33;FAIR-D1_2023-08-26_07-39-33;2023-08-26 07:39:33;2023-08-26 07:40:39;00:01:06;?;no;exit;23;FAIR-D1/23;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
24;FAIR-D1_24;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-05-14;FAIR-D1_2023-08-26_08-05-14;2023-08-26 08:05:14;2023-08-26 08:05:27;00:00:13;exit;no;exit;24;FAIR-D1/24;1 video;yes;no;Insecta;Hymenoptera;Apocrita;Aculeata;Vespoidea;Vespidae;Vespinae;Vespula;#N/C;wasp;Vespidae;Vespoidea;Aculeata;Apocrita;Hymenoptera;Insecta
25;FAIR-D1_25;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-06-01;FAIR-D1_2023-08-26_08-08-05;2023-08-26 08:06:01;2023-08-26 08:08:23;00:02:22;?;yes;exit;25;FAIR-D1/25;2 videos;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
26;FAIR-D1_26;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-10-04;FAIR-D1_2023-08-26_08-10-04;2023-08-26 08:10:04;2023-08-26 08:10:08;00:00:04;entrance;yes;exit;26;FAIR-D1/26;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
27;FAIR-D1_27;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-16-20;FAIR-D1_2023-08-26_08-16-20;2023-08-26 08:16:20;2023-08-26 08:16:57;00:00:37;?;no;?;27;FAIR-D1/27;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
28;FAIR-D1_28;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-31-47;FAIR-D1_2023-08-26_08-31-47;2023-08-26 08:31:47;2023-08-26 08:32:00;00:00:13;?;no;?;28;FAIR-D1/28;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
29;FAIR-D1_29;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-32-31;FAIR-D1_2023-08-26_08-32-31;2023-08-26 08:32:31;2023-08-26 08:33:30;00:00:59;?;yes;exit;29;FAIR-D1/29;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
30;FAIR-D1_30;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-32-31;FAIR-D1_2023-08-26_08-32-31;2023-08-26 08:32:31;2023-08-26 08:34:33;00:02:02;?;yes;?;30;FAIR-D1/30;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
31;FAIR-D1_31;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-37-25;FAIR-D1_2023-08-26_08-37-25;2023-08-26 08:37:25;2023-08-26 08:37:56;00:00:31;?;yes;?;31;FAIR-D1/31;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
32;FAIR-D1_32;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-37-25;FAIR-D1_2023-08-26_08-37-25;2023-08-26 08:37:32;2023-08-26 08:37:56;00:00:24;entrance;yes;?;32;FAIR-D1/32;1 video;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Sciomyzoidea;Sepsidae;Sepsinae;Parapalaeosepsis;#N/C;scavenger_fly;Sepsidae;Sciomyzoidea;Muscomorpha;Brachycera;Diptera;Insecta
33;FAIR-D1_33;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-39-18;FAIR-D1_2023-08-26_08-39-18;2023-08-26 08:38:28;2023-08-26 08:38:32;00:00:04;entrance;no;entrance;33;FAIR-D1/33;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
34;FAIR-D1_34;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-41-24;FAIR-D1_2023-08-26_08-42-42;2023-08-26 08:41:24;2023-08-26 08:42:52;00:01:28;?;yes;exit;34;FAIR-D1/34;2 videos;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
35;FAIR-D1_35;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-47-34;FAIR-D1_2023-08-26_08-49-18;2023-08-26 08:47:34;2023-08-26 08:50:15;00:02:41;?;yes;entrance;35;FAIR-D1/35;2 videos;yes;yes;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
36;FAIR-D1_36;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-47-34;FAIR-D1_2023-08-26_08-49-18;2023-08-26 08:47:48;2023-08-26 08:50:30;00:02:42;entrance;yes;exit;36;FAIR-D1/36;2 videos;no;yes;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;#N/C;#N/C;#N/C;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
37;FAIR-D1_37;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:53:28;2023-08-26 08:53:36;00:00:08;entrance;no;entrance;37;FAIR-D1/37;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
38;FAIR-D1_38;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:53:28;2023-08-26 08:54:37;00:01:09;?;yes;?;38;FAIR-D1/38;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
39;FAIR-D1_39;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:54:10;2023-08-26 08:57:29;00:03:19;entrance;yes;entrance;39;FAIR-D1/39;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
40;FAIR-D1_40;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:54:27;2023-08-26 08:55:30;00:01:03;entrance;yes;exit;40;FAIR-D1/40;1 video;no;no;Insecta;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;;;Insecta
41;FAIR-D1_41;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:55:51;2023-08-26 08:57:12;00:01:21;exit;yes;exit;41;FAIR-D1/41;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
42;FAIR-D1_42;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:55:57;2023-08-26 08:56:39;00:00:42;entrance;no;entrance;42;FAIR-D1/42;1 video;no;no;Insecta;Diptera;Brachycera;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;Brachycera;Diptera;Insecta
43;FAIR-D1_43;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:56:41;2023-08-26 08:58:29;00:01:48;entrance;yes;exit;43;FAIR-D1/43;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
44;FAIR-D1_44;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:57:26;2023-08-26 08:57:44;00:00:18;entrance;no;entrance;44;FAIR-D1/44;1 video;no;no;Insecta;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;#N/C;;;;;;;Insecta
45;FAIR-D1_45;FAIR-D1;2023-08-26;FAIR-D1_2023-08-26_08-53-28;FAIR-D1_2023-08-26_08-53-28;2023-08-26 08:57:26;2023-08-26 08:58:36;00:01:10;entrance;yes;?;45;FAIR-D1/45;1 video;yes;no;Insecta;Diptera;Brachycera;Muscomorpha;Muscoidea;Fanniidae;0;Fannia;#N/C;muscoid_fly;;Muscoidea;Muscomorpha;Brachycera;Diptera;Insecta
